<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.07.30	9672.060	9917.394	9264.035	9349.421	52280	0	463
2021.07.31	9349.329	9349.329	8679.139	8854.332	86095	0	434
2021.08.01	8854.302	9029.881	8564.317	8579.701	86071	0	428
2021.08.02	8579.679	8594.351	7637.230	7721.080	86070	0	382
2021.08.03	7721.050	7808.502	7268.398	7314.182	86042	0	363
2021.08.04	7314.164	7786.860	7157.895	7745.057	86053	0	357
2021.08.05	7744.984	7822.651	7187.356	7218.822	86002	0	359
2021.08.06	7218.742	7256.428	6739.770	7010.425	86033	0	337
2021.08.07	7010.301	7149.138	6569.023	6569.023	85967	0	328
2021.08.08	6569.010	7101.818	6440.182	7041.787	85717	0	322
2021.08.09	7041.740	7535.219	7035.103	7301.607	86010	0	351
2021.08.10	7301.586	7476.613	6928.581	7441.762	86011	0	346
2021.08.11	7441.705	8026.696	7316.507	7656.527	86076	0	365
2021.08.12	7656.484	7672.886	7273.518	7401.310	86028	0	363
2021.08.13	7401.274	7505.163	6624.204	7132.754	86026	0	331
2021.08.14	7132.732	7250.378	6826.697	6900.451	86038	0	341
2021.08.15	6900.440	6966.127	6501.317	6568.777	86002	0	325
2021.08.16	6568.672	6568.672	5954.455	6239.665	85996	0	297
2021.08.17	6239.618	6424.170	6022.458	6113.299	85985	0	301
2021.08.18	6113.234	6124.443	5610.742	5919.513	85917	0	280
2021.08.19	5919.456	6412.850	5808.336	6355.071	85336	0	290
2021.08.20	6355.023	6691.166	5932.981	6029.759	85982	0	296
2021.08.21	6029.744	6513.629	5877.103	6458.034	85968	0	293
2021.08.22	6457.918	6500.060	5834.323	5893.265	85901	0	291
2021.08.23	5893.183	6153.449	5752.825	5950.914	85940	0	287
2021.08.24	5950.793	6773.399	5924.619	6710.224	85980	0	296
2021.08.25	6710.151	7399.525	6574.413	7133.820	85974	0	328
2021.08.26	7133.817	7694.599	6961.553	7554.851	86005	0	348
2021.08.27	7554.746	7680.926	7157.900	7244.217	86049	0	358
2021.08.28	7244.152	7270.032	6687.733	6760.352	85989	0	334
2021.08.29	6760.322	7059.091	6632.275	6746.634	86030	0	331
2021.08.30	6746.545	7166.881	6640.426	7129.692	85967	0	332
2021.08.31	7129.664	7140.052	6817.955	7008.164	86034	0	340
2021.09.01	7008.113	7289.187	6811.163	7120.566	86025	0	340
2021.09.02	7120.527	7438.998	6837.857	7370.260	86034	0	341
2021.09.03	7370.254	7606.568	7273.972	7550.785	86035	0	363
2021.09.04	7550.758	7659.198	7028.152	7335.228	86030	0	351
2021.09.05	7335.218	7446.897	6620.693	6738.103	85961	0	331
2021.09.06	6738.002	7053.781	6561.621	6647.586	86009	0	328
2021.09.07	6647.554	7098.924	6533.526	6878.867	85994	0	326
2021.09.08	6878.857	7182.040	6590.182	6917.601	85966	0	329
2021.09.09	6917.538	7141.687	6735.513	6828.278	86002	0	336
2021.09.10	6828.227	6833.150	6148.841	6387.818	85947	0	307
2021.09.11	6387.791	6396.074	6014.365	6078.863	85918	0	300
2021.09.12	6078.788	6080.143	5316.878	5453.205	85938	0	265
2021.09.13	5453.190	5769.186	5435.704	5676.555	85905	0	271
2021.09.14	5676.524	5943.633	5623.675	5935.246	85939	0	281
2021.09.15	5935.181	6420.266	5885.987	6395.100	85953	0	294
2021.09.16	6395.083	6565.036	6057.218	6102.691	85958	0	302
2021.09.17	6102.688	6145.632	5829.843	5990.207	85921	0	291
2021.09.18	5990.148	6053.954	5716.478	5847.771	85982	0	285
2021.09.19	5847.740	6390.297	5764.031	6275.281	85963	0	288
2021.09.20	6275.221	6620.454	6073.985	6433.237	85967	0	303
2021.09.21	6433.220	7026.243	6289.437	6746.957	85992	0	314
2021.09.22	6746.814	7137.965	6607.758	6953.471	86016	0	330
2021.09.23	6953.444	6953.444	6582.961	6641.575	86007	0	329
2021.09.24	6641.545	7094.526	6448.949	7015.129	85935	0	322
2021.09.25	7014.986	7043.922	5913.108	5950.117	85993	0	295
2021.09.26	5950.048	5950.048	5383.444	5479.750	85908	0	269
2021.09.27	5479.667	5978.402	5370.744	5838.892	81205	0	268
2021.09.28	5838.847	6476.612	5630.548	6261.842	85848	0	281
2021.09.29	6261.802	6296.396	5955.574	6136.267	85937	0	297
2021.09.30	6136.218	6311.350	5969.982	6233.769	85935	0	298
2021.10.01	6233.761	6291.867	5904.301	5947.756	85932	0	295
2021.10.02	5947.737	6025.817	5645.178	5791.956	85896	0	282
2021.10.03	5791.907	6148.524	5679.947	6055.015	85932	0	284
2021.10.04	6054.913	6651.562	5849.305	6563.393	85964	0	292
2021.10.05	6563.391	7165.849	6314.541	7156.015	85959	0	315
2021.10.06	7155.909	7274.673	6501.956	6591.863	86012	0	325
2021.10.07	6591.807	7021.108	6544.004	6859.540	86011	0	327
2021.10.08	6859.397	7187.494	6823.583	7168.614	85994	0	341
2021.10.09	7168.603	7244.925	6683.947	6729.649	86006	0	334
2021.10.10	6729.592	6806.544	6346.644	6590.149	85979	0	317
2021.10.11	6590.054	6657.273	6103.465	6305.139	85978	0	305
2021.10.12	6305.036	6634.313	6115.612	6513.218	85945	0	305
2021.10.13	6513.141	6540.669	5894.149	5922.102	85965	0	294
2021.10.14	5922.043	6221.669	5793.320	6027.071	85955	0	289
2021.10.15	6027.062	6189.448	5806.270	5812.988	85910	0	290
2021.10.16	5812.979	5908.624	5343.326	5375.098	85864	0	267
2021.10.17	5375.060	5562.081	5236.433	5267.006	85893	0	261
2021.10.18	5266.983	5372.857	5114.468	5196.635	85882	0	255
2021.10.19	5196.599	5335.223	4993.713	5046.901	85889	0	249
2021.10.20	5046.896	5417.827	5011.308	5400.022	85867	0	250
2021.10.21	5400.001	5409.119	5029.412	5068.266	85910	0	251
2021.10.22	5068.261	5116.865	4779.097	5086.072	85843	0	239
2021.10.23	5086.024	5381.928	4886.188	5026.609	85829	0	244
2021.10.24	5026.580	5140.130	4847.321	4886.885	85838	0	242
2021.10.25	4886.832	5020.594	4520.251	4567.450	85788	0	226
2021.10.26	4567.439	4840.881	4504.312	4767.823	85805	0	225
2021.10.27	4767.775	4911.409	4509.380	4516.400	85782	0	225
2021.10.28	4516.360	4684.025	4235.933	4312.950	85816	0	211
2021.10.29	4312.879	4569.329	4186.743	4568.340	85783	0	209
2021.10.30	4568.311	5067.394	4518.760	4951.918	85837	0	225
2021.10.31	4951.857	5089.659	4696.179	4698.835	85860	0	234
2021.11.01	4698.770	5020.894	4671.956	4933.229	85856	0	233
2021.11.02	4933.157	4988.301	4689.356	4870.206	85876	0	234
2021.11.03	4870.138	4973.010	4712.125	4834.499	85848	0	235
2021.11.04	4834.491	5114.254	4797.318	5109.543	85831	0	239
2021.11.05	5109.526	5476.630	5067.387	5338.284	85873	0	253
2021.11.06	5338.241	5576.743	5229.797	5542.585	85864	0	261
2021.11.07	5542.555	5752.480	5420.814	5681.507	85861	0	271
2021.11.08	5681.489	5734.501	5373.549	5435.511	85906	0	268
2021.11.09	5435.483	5620.014	5324.434	5539.387	85907	0	266
2021.11.10	5539.314	5758.465	5360.660	5691.415	85936	0	268
2021.11.11	5691.380	6046.272	5585.757	6009.004	85932	0	279
2021.11.12	6008.911	6213.406	5739.920	5838.095	85909	0	287
2021.11.13	5838.069	5904.896	5512.870	5582.319	85911	0	275
2021.11.14	5582.314	5646.854	5306.407	5383.445	85903	0	265
2021.11.15	5383.416	5527.440	5108.978	5108.978	85896	0	255
2021.11.16	5108.948	5122.159	4848.435	4961.642	85889	0	242
2021.11.17	4961.609	5310.788	4898.975	5083.650	85862	0	245
