<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.10.06	1982.70	1992.00	1972.00	1973.70	16843	0	0
2015.10.07	1969.80	1999.60	1969.50	1997.10	18016	0	0
2015.10.08	1996.00	2017.00	1979.60	2014.00	18632	0	0
2015.10.09	2012.40	2022.00	2006.70	2014.50	13361	0	0
2015.10.12	2013.10	2021.60	2009.70	2020.20	9411	0	0
2015.10.13	2019.40	2022.50	1999.20	2000.20	11712	0	0
2015.10.14	1999.10	2009.40	1990.30	1992.80	14170	0	0
2015.10.15	1993.20	2026.70	1992.70	2026.20	13765	0	0
2015.10.16	2025.70	2034.20	2020.50	2034.20	10542	0	0
2015.10.19	2032.50	2035.70	2022.20	2035.00	10853	0	0
2015.10.20	2033.90	2039.20	2026.50	2027.70	10282	0	0
2015.10.21	2027.20	2042.00	2014.50	2017.70	11931	0	0
2015.10.22	2017.60	2062.60	2015.50	2062.60	12198	0	0
2015.10.23	2060.80	2080.80	2060.10	2071.80	13437	0	0
2015.10.26	2072.60	2074.60	2064.30	2069.60	9023	0	0
2015.10.27	2069.80	2071.30	2058.30	2070.50	9299	0	0
2015.10.28	2068.40	2091.50	2062.00	2088.00	11818	0	0
2015.10.29	2087.30	2092.80	2079.80	2091.00	9341	0	0
2015.10.30	2091.30	2101.00	2076.30	2080.50	11005	0	0
2015.11.02	2079.80	2106.30	2070.80	2099.80	7980	0	0
2015.11.03	2099.40	2116.50	2095.50	2108.80	6956	0	0
2015.11.04	2108.00	2115.40	2096.70	2102.20	10315	0	0
2015.11.05	2101.20	2110.30	2089.80	2100.80	10591	0	0
2015.11.06	2099.90	2104.00	2083.10	2099.40	12315	0	0
2015.11.09	2093.40	2098.90	2067.00	2077.30	10096	0	0
2015.11.10	2076.90	2083.70	2069.10	2081.70	10288	0	0
2015.11.11	2081.20	2091.90	2072.70	2073.40	8812	0	0
2015.11.12	2073.10	2081.90	2044.10	2044.80	11570	0	0
2015.11.13	2045.10	2050.30	2016.10	2017.30	13603	0	0
2015.11.16	2010.80	2054.90	2003.10	2053.20	14238	0	0
2015.11.17	2052.10	2066.80	2045.80	2053.30	10689	0	0
2015.11.18	2053.50	2085.50	2046.70	2081.90	10898	0	0
2015.11.19	2081.00	2092.00	2078.40	2082.10	9168	0	0
2015.11.20	2080.60	2097.30	2078.60	2091.80	8023	0	0
2015.11.23	2092.80	2095.80	2081.20	2086.20	7181	0	0
2015.11.24	2086.00	2094.20	2068.50	2086.70	9900	0	0
2015.11.25	2087.00	2095.20	2085.20	2091.20	6783	0	0
2015.11.26	2092.10	2100.70	2091.00	2097.50	2856	0	0
2015.11.27	2097.20	2098.20	2083.90	2091.40	6261	0	0
2015.11.30	2091.80	2097.10	2080.30	2086.80	6402	0	0
2015.12.01	2086.70	2103.10	2084.90	2101.10	7271	0	0
2015.12.02	2100.70	2106.10	2076.50	2085.00	8423	0	0
2015.12.03	2084.60	2096.50	2041.50	2055.10	17375	0	0
2015.12.04	2055.00	2094.30	2048.50	2089.80	14330	0	0
2015.12.07	2093.80	2096.80	2066.30	2082.20	11928	0	0
2015.12.08	2081.40	2082.70	2051.80	2061.50	13773	0	0
2015.12.09	2061.20	2080.90	2035.60	2046.60	18445	0	0
2015.12.10	2046.40	2068.00	2044.90	2051.70	15232	0	0
2015.12.11	2051.80	2057.00	2006.00	2008.00	18707	0	0
2015.12.14	2009.00	2028.90	1993.00	2021.00	16998	0	0
2015.12.15	2022.70	2054.50	2019.50	2046.20	9664	0	0
2015.12.16	2046.50	2077.20	2040.90	2068.50	10606	0	0
2015.12.17	2069.40	2081.00	2031.40	2031.70	9875	0	0
2015.12.18	2032.60	2038.20	2001.20	2005.20	12000	0	0
2015.12.21	2007.40	2028.70	2005.40	2027.50	8806	0	0
2015.12.22	2026.60	2045.60	2016.60	2043.00	8733	0	0
2015.12.23	2042.70	2066.60	2040.10	2062.10	5890	0	0
2015.12.24	2062.00	2069.00	2058.30	2063.80	2358	0	0
2015.12.28	2059.60	2063.60	2044.60	2059.30	4934	0	0
2015.12.29	2058.60	2081.70	2056.20	2080.80	4372	0	0
2015.12.30	2079.50	2081.90	2060.70	2063.10	4653	0	0
2015.12.31	2062.50	2064.70	2044.30	2059.80	3373	0	0
2016.01.04	2045.60	2049.90	1988.80	2018.30	13484	0	0
2016.01.05	2018.20	2025.60	2001.30	2018.80	11050	0	0
2016.01.06	2019.00	2020.70	1978.40	1994.50	14491	0	0
2016.01.07	1995.30	1998.60	1936.30	1942.20	20638	0	0
2016.01.08	1944.30	1972.30	1917.80	1919.30	21530	0	0
2016.01.11	1917.20	1936.40	1900.40	1920.40	20317	0	0
2016.01.12	1921.60	1947.70	1906.90	1930.40	19120	0	0
2016.01.13	1930.10	1954.00	1885.50	1890.70	18764	0	0
2016.01.14	1891.70	1934.90	1878.60	1919.80	21791	0	0
2016.01.15	1920.60	1928.30	1857.00	1882.90	25761	0	0
2016.01.18	1877.00	1897.40	1867.50	1878.00	13453	0	0
2016.01.19	1879.80	1914.90	1863.90	1879.40	19984	0	0
2016.01.20	1879.00	1885.60	1811.60	1859.50	28029	0	0
2016.01.21	1861.70	1890.30	1843.70	1868.60	30535	0	0
