<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1995.01.01	1.26260	1.30280	1.24960	1.28340	34282	0	50
1995.02.01	1.28250	1.34600	1.27180	1.34010	31620	0	50
1995.03.01	1.33970	1.45350	1.33190	1.42890	86453	0	50
1995.04.01	1.42890	1.45200	1.37880	1.40860	67020	0	50
1995.05.01	1.40870	1.43580	1.33800	1.38140	63233	0	50
1995.06.01	1.38220	1.42040	1.36090	1.41520	54472	0	50
1995.07.01	1.41500	1.42490	1.38360	1.41020	35441	0	50
1995.08.01	1.41030	1.42470	1.30720	1.33250	53263	0	50
1995.09.01	1.33280	1.38860	1.30000	1.36960	50841	0	50
1995.10.01	1.36870	1.41600	1.35480	1.38750	48032	0	50
1995.11.01	1.38760	1.39930	1.34850	1.35290	39582	0	50
1995.12.01	1.35260	1.37030	1.34520	1.36030	34161	0	50
1996.01.01	1.36170	1.36690	1.30880	1.31510	35372	0	50
1996.02.01	1.31420	1.35660	1.30840	1.32800	33131	0	50
1996.03.01	1.32780	1.33390	1.31080	1.32240	27811	0	50
1996.04.01	1.32260	1.32690	1.27370	1.27690	27162	0	50
1996.05.01	1.27680	1.29200	1.26170	1.28390	24223	0	50
1996.06.01	1.28390	1.29490	1.26570	1.28090	26490	0	50
1996.07.01	1.28090	1.33530	1.25960	1.32890	36393	0	50
1996.08.01	1.32880	1.33050	1.30720	1.31890	24042	0	50
1996.09.01	1.31890	1.32270	1.27910	1.28370	25931	0	50
1996.10.01	1.28370	1.29930	1.26580	1.28870	24663	0	50
1996.11.01	1.28860	1.31380	1.27030	1.27040	32631	0	50
1996.12.01	1.27170	1.28270	1.24240	1.26870	37112	0	50
1997.01.01	1.26730	1.27150	1.18050	1.19480	43872	0	50
1997.02.01	1.19240	1.19510	1.14560	1.15720	32560	0	50
1997.03.01	1.15500	1.17680	1.13640	1.16820	30241	0	50
1997.04.01	1.16820	1.17620	1.12440	1.13040	28772	0	50
1997.05.01	1.13020	1.17280	1.12730	1.14540	38412	0	50
1997.06.01	1.14560	1.14890	1.11990	1.12130	27871	0	50
1997.07.01	1.12100	1.12440	1.05770	1.06380	34293	0	50
1997.08.01	1.06340	1.09470	1.03440	1.08190	41191	0	50
1997.09.01	1.07880	1.11930	1.06310	1.11130	38632	0	50
1997.10.01	1.11130	1.14400	1.09130	1.13340	39853	0	50
1997.11.01	1.13400	1.15370	1.10570	1.10910	31150	0	50
1997.12.01	1.10970	1.11250	1.08670	1.08740	27163	0	50
1998.01.01	1.08800	1.11580	1.06080	1.06860	3695	0	50
1998.02.01	1.06720	1.09620	1.06460	1.07670	3012	0	50
1998.03.01	1.07780	1.09620	1.07210	1.07690	3361	0	50
